num;question;a;b;c;d;solution;area_code;area;theme;image;Tags
1;In Deutschland dürfen Menschen offen etwas gegen die Regierung sagen, weil ...;hier Religionsfreiheit gilt.;die Menschen Steuern zahlen.;die Menschen das Wahlrecht haben.;hier Meinungsfreiheit gilt.;d;politik;Politik in der Demokratie;Grundrechte;-;
2;In Deutschland können Eltern bis zum 14. Lebensjahr ihres Kindes entscheiden, ob es in der Schule am ...;Geschichtsunterricht teilnimmt.;Religionsunterricht teilnimmt.;Politikunterricht teilnimmt.;Sprachunterricht teilnimmt.;b;politik;Politik in der Demokratie;Grundrechte;-;
3;Deutschland ist ein Rechtsstaat. Was ist damit gemeint?;Alle Einwohner / Einwohnerinnen und der Staat müssen sich an die Gesetze halten.;Der Staat muss sich nicht an die Gesetze halten.;Nur Deutsche müssen die Gesetze befolgen.;Die Gerichte machen die Gesetze.;a;politik;Politik in der Demokratie;Verfassungsprinzipien;-;
4;Welches Recht gehört zu den Grundrechten in Deutschland?;Waffenbesitz;Faustrecht;Meinungsfreiheit;Selbstjustiz;c;politik;Politik in der Demokratie;Grundrechte;-;
5;Wahlen in Deutschland sind frei. Was bedeutet das?;Man darf Geld annehmen, wenn man dafür einen bestimmten Kandidaten / eine bestimmte Kandidatin wählt.;Der Wähler darf bei der Wahl weder beeinflusst noch zu einer bestimmten Stimmabgabe gezwungen werden und keine Nachteile durch die Wahl haben.;Nur Personen, die noch nie im Gefängnis waren, dürfen wählen.;Alle wahlberechtigten Personen müssen wählen.;b;politik;Politik in der Demokratie;Wahlen und Beteiligung;-;
6;Wie heißt die deutsche Verfassung?;Volksgesetz;Bundesgesetz;Deutsches Gesetz;Grundgesetz;d;politik;Politik in der Demokratie;Verfassungsprinzipien;-;
7;Welches Recht gehört zu den Grundrechten, die nach der deutschen Verfassung garantiert werden? Das Recht auf ...;Glaubens- und Gewissensfreiheit;Unterhaltung;Arbeit;Wohnung;a;politik;Politik in der Demokratie;Grundrechte;-;
8;Was steht nicht im Grundgesetz von Deutschland?;Die Würde des Menschen ist unantastbar.;Alle sollen gleich viel Geld haben.;Jeder Mensch darf seine Meinung sagen.;Alle sind vor dem Gesetz gleich.;b;politik;Politik in der Demokratie;Grundrechte;-;
9;Welches Grundrecht gilt in Deutschland nur für Ausländer / Ausländerinnen? Das Grundrecht auf ...;Schutz der Familie;Menschenwürde;Asyl;Meinungsfreiheit;c;politik;Politik in der Demokratie;Grundrechte;-;
10;Was ist mit dem deutschen Grundgesetz vereinbar?;die Prügelstrafe;die Folter;die Todesstrafe;die Geldstrafe;d;politik;Politik in der Demokratie;Grundrechte;-;
11;Wie wird die Verfassung der Bundesrepublik Deutschland genannt?;Grundgesetz;Bundesverfassung;Gesetzbuch;Verfassungsvertrag;a;politik;Politik in der Demokratie;Verfassungsprinzipien;-;
12;Eine Partei im Deutschen Bundestag will die Pressefreiheit abschaffen. Ist das möglich?;Ja, wenn mehr als die Hälfte der Abgeordneten im Bundestag dafür sind.;Ja, aber dazu müssen zwei Drittel der Abgeordneten im Bundestag dafür sein.;Nein, denn die Pressefreiheit ist ein Grundrecht. Sie kann nicht abgeschafft werden.;Nein, denn nur der Bundesrat kann die Pressefreiheit abschaffen.;c;politik;Politik in der Demokratie;Grundrechte;-;
13;Im Parlament steht der Begriff „Opposition“ für...;die regierenden Parteien.;alle Abgeordneten, die nicht zu der Regierungspartei/den Regierungsparteien gehören.;die Fraktion mit den meisten Abgeordneten.;alle Parteien, die bei der letzten Wahl die 5%-Hürde erreichen konnten.;b;politik;Politik in der Demokratie;Verfassungsorgane;-;difficult
14;Meinungsfreiheit in Deutschland heißt, dass ich ...;auf Flugblättern falsche Tatsachen behaupten darf.;meine Meinung in Leserbriefen äußern kann.;Nazi-Symbole tragen darf.;Meine Meinung sagen darf, solange ich der Regierung nicht widerspreche.;b;politik;Politik in der Demokratie;Grundrechte;-;
15;Was verbietet das deutsche Grundgesetz?;Militärdienst;Zwangsarbeit;freie Berufswahl;Arbeit im Ausland;b;politik;Politik in der Demokratie;Grundrechte;-;
16;Wann ist die Meinungsfreiheit in Deutschland eingeschränkt?;bei der öffentlichen Verbreitung falscher Behauptungen über einzelne Personen;bei Meinungsäußerungen über die Bundesregierung;bei Diskussionen über Religionen;bei Kritik am Staat;a;politik;Politik in der Demokratie;Grundrechte;-;
17;Die deutschen Gesetze verbieten ...;Meinungsfreiheit der Einwohner und Einwohnerinnen.;Petitionen der Bürger und Bürgerinnen.;Versammlungsfreiheit der Einwohner und Einwohnerinnen.;Ungleichbehandlung der Bürger und Bürgerinnen durch den Staat.;d;politik;Politik in der Demokratie;Grundrechte;-;difficult
18;Welches Grundrecht ist in Artikel 1 des Grundgesetzes der Bundesrepublik Deutschland garantiert?;die Unantastbarkeit der Menschenwürde;das Recht auf Leben;Religionsfreiheit;Meinungsfreiheit;a;politik;Politik in der Demokratie;Grundrechte;-;
19;Was versteht man unter dem Recht der „Freizügigkeit“ in Deutschland?;Man darf sich seinen Wohnort selbst aussuchen.;Man kann seinen Beruf wechseln.;Man darf sich für eine andere Religion entscheiden.;Man darf sich in der Öffentlichkeit nur leicht bekleidet bewegen.;a;politik;Politik in der Demokratie;Grundrechte;-;
20;Eine Partei in Deutschland verfolgt das Ziel, eine Diktatur zu errichten. Sie ist dann ...;tolerant.;rechtsstaatlich orientiert.;gesetzestreu.;verfassungswidrig.;d;politik;Politik in der Demokratie;Verfassungsorgane;-;
